pydev debugger: starting (pid: 6680)
Participant Table
Participant,Age,Sex,FBInfo
18c422a5a49475d6e588,18,0,N/A
38c7e15c0fd005bcac92,30,1,N/A
2bf9298a0e255a9f6a23,24,0,N/A
f84e65105246596047fe,36,0,N/A
fb5fe58a0f24db0236ee,30,0,N/A
f993485cdcad266475f7,30,0,N/A
1da6c966112d71ba0ba9,24,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,MaxRoundDuration,Hits,Confidence,Rank Before,Rank After,Assets,AI_Assets,TotalTime,TargetLocations,Choices
f993485cdcad266475f7,12143,1,10,600,0,-1,0,0,,,-4,3;6;13;24,
f993485cdcad266475f7,12144,1,10,600,4,1,0,0,0;3;4,1;2;5;6,342,3;6;13;16,3;6;13;16
f993485cdcad266475f7,12152,1,10,600,3,2,0,0,1;2;5;6,0;3;4,400,1;2;6;13,1;2;13;17
f993485cdcad266475f7,12163,1,10,600,0,-1,0,0,,,-4,2;15;19;24,
f993485cdcad266475f7,12259,1,10,600,0,-1,0,0,0;3;4,1;2;5;6,-2,1;4;8;18,
f993485cdcad266475f7,12260,1,10,600,4,1,0,3,0;3;4,1;2;5;6,434,2;14;21;23,2;14;21;23
f993485cdcad266475f7,15130,1,10,600,3,2,3,3,1;2;5;6,0;3;4,344,3;7;12;19,7;12;19;20
f993485cdcad266475f7,15144,1,10,600,0,-1,3,3,0;3;4,1;2;5;6,-49,7;9;12;15,
f993485cdcad266475f7,15145,1,10,600,2,3,3,3,0;3;4,1;2;5;6,88,11;16;20;24,10;16;17;24
f993485cdcad266475f7,15146,1,10,600,0,-1,3,3,0;3;4,1;2;5;6,-5,3;9;12;21,
f993485cdcad266475f7,15184,1,10,600,0,-1,3,3,,,-5,3;6;9;17,
f993485cdcad266475f7,15185,1,10,600,2,3,3,3,0;3;4,1;2;5;6,328,2;3;7;24,7;13;18;24
fb5fe58a0f24db0236ee,15187,1,10,600,3,4,0,2,1;2;5;6,0;3;4,179,2;7;12;23,7;12;13;23
fb5fe58a0f24db0236ee,15188,1,10,600,3,2,2,2,0;3;4,1;2;5;6,169,4;11;19;21,4;11;18;21
f84e65105246596047fe,15195,1,10,600,0,-1,0,0,0;3;4,1;2;5;6,-9,1;11;12;14,
f84e65105246596047fe,15196,1,10,600,3,2,0,2,0;3;4,1;2;5;6,184,13;17;18;21,11;13;18;21
f84e65105246596047fe,15197,1,10,600,2,4,2,2,1;2;5;6,0;3;4,167,16;18;21;23,12;13;18;21
38c7e15c0fd005bcac92,15236,1,10,600,0,-1,0,0,1;2;5;6,0;3;4,-15,1;8;19;24,
1da6c966112d71ba0ba9,15237,1,10,600,0,-1,0,0,1;2,0;3;4;5;6,-32,0;2;9;19,
38c7e15c0fd005bcac92,15237,2,10,600,n/a,-1,0,0,3;4,0;1;2;5;6,-32,n/a,
18c422a5a49475d6e588,15237,3,10,600,n/a,1,0,1,5;6,0;1;2;3;4,552,n/a,0;6;16;17
f993485cdcad266475f7,15237,4,10,600,n/a,-1,3,3,0,1;2;3;4;5;6,-32,n/a,
fb5fe58a0f24db0236ee,15238,1,10,600,1,2,2,2,0;1;2,3;4;5;6,312,3;4;11;12,4;10;14;16
2bf9298a0e255a9f6a23,15238,2,10,600,n/a,5,0,1,3;4,0;1;2;5;6,288,n/a,4;9;16;23
f993485cdcad266475f7,15238,3,10,600,n/a,2,3,3,5;6,0;1;2;3;4,296,n/a,4;5;16;23
f993485cdcad266475f7,15240,1,10,600,0,4,3,3,1;2;5;6,0;3;4,60,10;13;22;23,4;8;11;15


Single-player Round Table
Participant,GameNum,PlayerNum,Round,RoundDuration,MarkClear,MarkPossible,MarkConfirm
f993485cdcad266475f7,12144,1,1,19,,,
f993485cdcad266475f7,12144,1,2,65,10;21;10;11;14,12,13
f993485cdcad266475f7,12144,1,3,86,17;17;18;19,15,6;16;6
f993485cdcad266475f7,12144,1,4,70,5;23;22;21;20;24;23;21;20,24;22,16
f993485cdcad266475f7,12144,1,5,87,,,5;16;3
f993485cdcad266475f7,12152,1,1,6,,,
f993485cdcad266475f7,12152,1,2,82,16;3;8;23,18;18,13
f993485cdcad266475f7,12152,1,3,54,21;21,12;6;11;16,1
f993485cdcad266475f7,12152,1,4,184,16,12;17;22,10
f993485cdcad266475f7,12152,1,5,51,23,2,
f993485cdcad266475f7,12259,1,1,14,,,
f993485cdcad266475f7,12260,1,1,43,,,0
f993485cdcad266475f7,12260,1,2,92,,23;20;22;18;10,23
f993485cdcad266475f7,12260,1,3,34,15,,23
f993485cdcad266475f7,12260,1,4,191,20;22;24;10;11;12;14;17;15,,
f993485cdcad266475f7,12260,1,5,46,16;22,,14
f993485cdcad266475f7,15130,1,1,31,,,
f993485cdcad266475f7,15130,1,2,105,4;9;14;24;5;4,,19
f993485cdcad266475f7,15130,1,3,44,,7,3;12
f993485cdcad266475f7,15130,1,4,22,,,
f993485cdcad266475f7,15130,1,5,27,,,
f993485cdcad266475f7,15144,1,1,62,,,
f993485cdcad266475f7,15144,1,2,113,21,,
f993485cdcad266475f7,15145,1,1,11,,,
f993485cdcad266475f7,15145,1,2,36,,,
f993485cdcad266475f7,15145,1,3,10,,,
f993485cdcad266475f7,15145,1,4,8,,,
f993485cdcad266475f7,15145,1,5,4,,,
f993485cdcad266475f7,15146,1,1,42,,,
f993485cdcad266475f7,15146,1,2,-47,,,18
f993485cdcad266475f7,15185,1,1,102,,,
f993485cdcad266475f7,15185,1,2,81,,,13
f993485cdcad266475f7,15185,1,3,27,,,
f993485cdcad266475f7,15185,1,4,50,,,16
f993485cdcad266475f7,15185,1,5,17,,,
fb5fe58a0f24db0236ee,15187,1,1,53,,,
fb5fe58a0f24db0236ee,15187,1,2,24,,,
fb5fe58a0f24db0236ee,15187,1,3,20,,,
fb5fe58a0f24db0236ee,15187,1,4,27,,,
fb5fe58a0f24db0236ee,15187,1,5,40,,,
fb5fe58a0f24db0236ee,15188,1,1,10,,,
fb5fe58a0f24db0236ee,15188,1,2,16,,,
fb5fe58a0f24db0236ee,15188,1,3,49,,11;21;14,
fb5fe58a0f24db0236ee,15188,1,4,40,,,10;12;21
fb5fe58a0f24db0236ee,15188,1,5,30,,,11
f84e65105246596047fe,15195,1,1,19,,,
f84e65105246596047fe,15195,1,2,-28,18,23,
f84e65105246596047fe,15196,1,1,10,,,
f84e65105246596047fe,15196,1,2,74,15;17;5;6;8,18;16;7;9,
f84e65105246596047fe,15196,1,3,15,,,
f84e65105246596047fe,15196,1,4,51,,19;8,
f84e65105246596047fe,15196,1,5,14,,,
f84e65105246596047fe,15197,1,1,18,,,
f84e65105246596047fe,15197,1,2,83,4;14;24,4;15,9;19
f84e65105246596047fe,15197,1,3,15,,,
f84e65105246596047fe,15197,1,4,22,,,
f84e65105246596047fe,15197,1,5,10,,,
38c7e15c0fd005bcac92,15236,1,1,199,,,
1da6c966112d71ba0ba9,15237,1,1,25,,,23
1da6c966112d71ba0ba9,15237,1,2,116,,,
1da6c966112d71ba0ba9,15237,1,3,165,8;14;13,13,
1da6c966112d71ba0ba9,15237,1,4,144,7,,
1da6c966112d71ba0ba9,15237,1,5,45,,,
38c7e15c0fd005bcac92,15237,2,1,70,,,
38c7e15c0fd005bcac92,15237,2,2,101,,,23
38c7e15c0fd005bcac92,15237,2,3,155,,,
