Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2240,1,10,9990,3,2,1;2;5;6,0;3;4,1164,3;4;11;21,3;11;19;21,5;18;1;6;16;19;22;17;12;7;0,11;10,11;21;2;21


Single-player Round Table
Participant,GameNum,PlayerNum,Round,AssetType,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2240,1,1,20;22;23;24,,21
447d9d6559a5163e5297,2240,1,2,0;1;2;4;2,21,3
447d9d6559a5163e5297,2240,1,3,15;16;17;18;10;13;17,12;14;8,19;11
447d9d6559a5163e5297,2240,1,4,9,,11
447d9d6559a5163e5297,2240,1,5,7,,3


Single-player Assets in Each Round
Participant,GameNum,PlayerNum,Round,AssetType,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,2240,1,1,1,20;22;23;24,,21
447d9d6559a5163e5297,2240,1,1,2,,,
447d9d6559a5163e5297,2240,1,1,5,,,
447d9d6559a5163e5297,2240,1,1,6,,,
bot,2240,2,1,0,1;6;16,,11;21
bot,2240,2,1,3,5,,
bot,2240,2,1,4,18,,
447d9d6559a5163e5297,2240,1,2,1,,,
447d9d6559a5163e5297,2240,1,2,2,0;1;2;4,,3
447d9d6559a5163e5297,2240,1,2,5,2,,
447d9d6559a5163e5297,2240,1,2,6,,21,
bot,2240,2,2,0,7;12;17;22,,2
bot,2240,2,2,3,19,,
bot,2240,2,2,4,,,
447d9d6559a5163e5297,2240,1,3,1,15;16;17;18,,19
447d9d6559a5163e5297,2240,1,3,2,10;13,12;14,11
447d9d6559a5163e5297,2240,1,3,5,,8,
447d9d6559a5163e5297,2240,1,3,6,17,,
bot,2240,2,3,0,1;6;16,11,21
bot,2240,2,3,3,,8,
bot,2240,2,3,4,,,
447d9d6559a5163e5297,2240,1,4,1,,,
447d9d6559a5163e5297,2240,1,4,2,,,
447d9d6559a5163e5297,2240,1,4,5,9,,
447d9d6559a5163e5297,2240,1,4,6,,,11
bot,2240,2,4,0,0;5;15;20,10,
bot,2240,2,4,3,0,,
bot,2240,2,4,4,,,
447d9d6559a5163e5297,2240,1,5,1,,,
447d9d6559a5163e5297,2240,1,5,2,,,
447d9d6559a5163e5297,2240,1,5,5,,,3
447d9d6559a5163e5297,2240,1,5,6,7,,
bot,2240,2,5,0,2;7;12;22,17,
bot,2240,2,5,3,,7,
bot,2240,2,5,4,,,
