Participant Table
Participant,Age,Sex,FBInfo
447d9d6559a5163e5297,30,0,N/A


Single-Player Game Level
Participant,GameNum,PlayerNum,Difficulty,RoundDuration,Hits,Confidence,Assets,AI_Assets,TotalTime,TargetLocations,Choices,TargetClear,TargetPossible,TargetConfirm
447d9d6559a5163e5297,1955,1,-1,300,0,-1,0;1;2;3;4;5;6,,-2,6;11;15;18,,,,
447d9d6559a5163e5297,1956,1,-1,300,0,-1,0;1;2;3;4;5;6,,-5,1;4;5;9,,,,
447d9d6559a5163e5297,1957,1,10,990,0,-1,,,-11,2;5;11;21,,,,
447d9d6559a5163e5297,1958,1,10,890,0,-1,,,-1,9;11;13;18,,,,
447d9d6559a5163e5297,1959,1,10,990,0,-1,0;1;2;3;4;5;6,,-3678,1;9;10;16,,,,
447d9d6559a5163e5297,1960,1,10,990,0,-1,0;1;2;3;4;5;6,,-257,3;5;22;23,,,,
447d9d6559a5163e5297,1961,1,10,990,0,-1,0;1;2;3;4;5;6,,-2,11;14;15;19,,,,
447d9d6559a5163e5297,1962,1,10,990,0,-1,,,-2,4;9;10;20,,,,
447d9d6559a5163e5297,1963,1,10,990,0,-1,,,-399,8;18;20;21,,,,
447d9d6559a5163e5297,1964,1,10,990,0,-1,0,,-2,2;10;11;14,,,,
447d9d6559a5163e5297,1965,1,10,990,0,-1,0,,-72,6;19;22;23,,,,
447d9d6559a5163e5297,1966,1,10,990,0,-1,,,-2,2;3;8;15,,,,
447d9d6559a5163e5297,1967,1,10,990,0,-1,0,,-82,3;4;20;21,,,,
447d9d6559a5163e5297,1968,1,10,990,0,-1,0,1;2;3;4;5;6,-98,6;11;12;19,,,,
447d9d6559a5163e5297,1969,1,10,990,0,-1,0,1;2;3;4;5;6,-2,1;10;18;23,,,,
447d9d6559a5163e5297,1970,1,10,990,0,-1,0,1;2;3;4;5;6,-120,6;11;15;20,,,,
447d9d6559a5163e5297,1971,1,10,990,0,-1,0,1;2;3;4,-6,7;13;21;22,,,,
447d9d6559a5163e5297,1972,1,10,990,0,-1,0,1;2;3;4;5;6,-97,6;8;11;17,,,,
447d9d6559a5163e5297,1973,1,10,990,0,-1,0,1;2;3;4;5;6,-31,7;12;21;24,,,,
447d9d6559a5163e5297,1974,1,10,990,0,-1,0,1;2;3;4,-2,0;15;16;17,,,,
447d9d6559a5163e5297,1975,1,10,990,0,-1,0,1;2;3;4;5;6,-251,6;8;14;15,,,,
447d9d6559a5163e5297,1976,1,10,990,0,-1,0,1;2;3;4;5;6,-178,6;7;15;21,,,,
447d9d6559a5163e5297,1977,1,10,990,0,-1,0,1;2;3;4;5;6,-84,3;6;7;21,,,,0
447d9d6559a5163e5297,1978,1,10,990,0,-1,0,1;2;3;4;5;6,-119,5;16;21;22,,2,1;2,0
447d9d6559a5163e5297,1979,1,10,990,0,-1,0,1;2;3;4;5;6,-230,1;6;8;14,,,0;0,0;0
447d9d6559a5163e5297,1980,1,10,990,0,-1,0,1;2;3;4;5;6,-105,0;1;2;24,,,0,0
447d9d6559a5163e5297,1981,1,10,990,0,-1,0,1;2;3;4;5;6,-18,5;10;12;24,,0,0,0
447d9d6559a5163e5297,1982,1,10,990,0,-1,0,1;2;3;4;5;6,-524,1;4;16;23,,,,
447d9d6559a5163e5297,1983,1,10,990,0,-1,,,-2,3;4;17;20,,,,
447d9d6559a5163e5297,1984,1,10,990,0,-1,0,1;2;3;4;5;6,-43,1;4;9;11,,,,
447d9d6559a5163e5297,1985,1,10,990,0,-1,0,1;2;3;4;5;6,-2,1;16;18;24,,,,
447d9d6559a5163e5297,1986,1,10,990,0,-1,0,1;2;3;4;5;6,-34,2;6;13;17,,,,
447d9d6559a5163e5297,1987,1,10,990,0,-1,0,1;2;3;4;5;6,-31,5;6;12;18,,,,
447d9d6559a5163e5297,1988,1,10,990,0,-1,0,1;2;3;4;5;6,-32,2;6;11;20,,,,
